id,citation,link
Vedbärerskor._Sulawesi._Indonesien_-_SMVK_-_000194,"Kaudern, Walter. ""Vedbärerskor."" January 1919. Photograph, 000194. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1897469.",https://commons.wikimedia.org/wiki/File:Vedb%C3%A4rerskor._Sulawesi._Indonesien_-_SMVK_-_000194.tif
Överkanten_av_en_arkeologisk_kalamba._Badankaja._Indonesien_-_SMVK_-_010647,"Kaudern, Walter. ""Nersjunket stenkar (kalamba)."" December 1918. Photograph, 010647. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113598.",https://commons.wikimedia.org/wiki/File:%C3%96verkanten_av_en_arkeologisk_kalamba._Badankaja._Indonesien_-_SMVK_-_010647.tif
Den_forne_furstens_av_Pipikoro_bostad_i_Peana._Framtill_är_rest_en_woentja-stång_av_bambu_-_SMVK_-_000331,"Kaudern, Walter. ""Maradika Malolo's hus."" October 1918. Photograph, 000331. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/112328.",https://commons.wikimedia.org/wiki/File:Den_forne_furstens_av_Pipikoro_bostad_i_Peana._Framtill_%C3%A4r_rest_en_woentja-st%C3%A5ng_av_bambu_-_SMVK_-_000331.tif
Moské._Fyra_män_står_framför._Sulawesi._Indonesien_-_SMVK_-_000310,"Kaudern, Walter. ""Moské. Fyra män står framför."" September 1917. Photograph, 000310. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1898155.",https://commons.wikimedia.org/wiki/File:Mosk%C3%A9._Fyra_m%C3%A4n_st%C3%A5r_framf%C3%B6r._Sulawesi._Indonesien_-_SMVK_-_000310.tif
"Bytempel_(lobo)._Walter_Kaudern,_Structures_and_settlements_in_Central_Celebes._ESC_I._Gbg_1925_-_SMVK_-_010821b","Kaudern, Walter. ""Bytempel (lobo)."" June 1918. Photograph, 010821b. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113372.","https://commons.wikimedia.org/wiki/File:Bytempel_(lobo)._Walter_Kaudern,_Structures_and_settlements_in_Central_Celebes._ESC_I._Gbg_1925_-_SMVK_-_010821b.tif"
"Hus_och_två_risbodar_i_Lindoe._Byn_Tomado,_Lindoe,_Paloe,_Central-Celebes._Lindu,_Sulawesi_-_SMVK_-_000225","Kaudern, Walter. ""Motiv: hus och risbodar i byn Tomado."" July 1918. Photograph, 000225. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113635.","https://commons.wikimedia.org/wiki/File:Hus_och_tv%C3%A5_risbodar_i_Lindoe._Byn_Tomado,_Lindoe,_Paloe,_Central-Celebes._Lindu,_Sulawesi_-_SMVK_-_000225.tif"
"Hus_och_två_risbodar_i_Lindoe._Byn_Tomado,_Lindoe,_Paloe,_Central-Celebes._Lindu,_Sulawesi_-_SMVK_-_000225","Kaudern, Walter. ""Hus i byn Baggakoro och floden Koro vid Baggakoro."" December 1918. Photograph, 010652. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1302761.","https://commons.wikimedia.org/wiki/File:Hus_i_byn_Baggakoro_och_floden_Koro_vid_Baggakoro,_(2_fotos)_Lokal,_Baggakoro_Central-Celebes_-_SMVK_-_010652.tif"
Den_obebodda_byn_Poraelea_i_Tole._Byscen._Sulawesi._Indonesien_-_SMVK_-_000242,"Kaudern, Walter. ""Den obebodda byn Poraelea i Tole."" 1918. Photograph, 000242. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113373.",https://commons.wikimedia.org/wiki/File:Den_obebodda_byn_Poraelea_i_Tole._Byscen._Sulawesi._Indonesien_-_SMVK_-_000242.tif
"De_Groots_hus._Datum,_1919._Ort,_Loewoek,_Ost-Celebes._Luwuk._Indonesien_-_SMVK_-_022187","Kaudern, Walter. ""De Groots hus."" 1919. Photograph, 022187. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1319192.","https://commons.wikimedia.org/wiki/File:De_Groots_hus._Datum,_1919._Ort,_Loewoek,_Ost-Celebes._Luwuk._Indonesien_-_SMVK_-_022187.tif"
"Risfält_nedanför_byn_just_då_plantorna_satts_ut._Byn_Soengkoe,_Koelawi,_Central-Celebes_-_SMVK_-_010896","Kaudern, Walter. ""Risfält nedanför byn just då plantorna satts ut."" June 1918. Photograph, 010896. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113362.","https://commons.wikimedia.org/wiki/File:Risf%C3%A4lt_nedanf%C3%B6r_byn_just_d%C3%A5_plantorna_satts_ut._Byn_Soengkoe,_Koelawi,_Central-Celebes_-_SMVK_-_010896.tif"
