id,citation,link
"Ung_flicka_i_huvudband_kallat_tali_potaja._Sulawesi,_Kulawi._Indonesien_-_SMVK_-_000232","Kaudern, Walter. ""Ung flicka i huvudband kallat tali potaja."" 1918. Photograph, 000232. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113474.","https://commons.wikimedia.org/wiki/File:Ung_flicka_i_huvudband_kallat_tali_potaja._Sulawesi,_Kulawi._Indonesien_-_SMVK_-_000232.tif"
"Byn_Tentena,_Central-Celebes._Sulawesi._Indonesien_-_SMVK_-_000179","Kaudern, Walter. ""Byn Tentena, Central-Celebes."" May 1919. Photograph, 000179. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1330313.","https://commons.wikimedia.org/wiki/File:Byn_Tentena,_Central-Celebes._Sulawesi._Indonesien_-_SMVK_-_000179.tif"
"Alisa_med_ryggkorg._Datum,_Dec._1919._Ort,_Pinapoean._Ost-Celebes._Pinapoean._Indonesien_-_SMVK_-_022186","Kaudern, Walter. ""Alisa med ryggkorg."" December 1919. Photograph, 022186. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1319191.","https://commons.wikimedia.org/wiki/File:Alisa_med_ryggkorg._Datum,_Dec._1919._Ort,_Pinapoean._Ost-Celebes._Pinapoean._Indonesien_-_SMVK_-_022186.tif"
Gammal_kvinna_i_basttygskläder._Hon_bär_på_ett_30-tal_smala_armringar_på_vardera_armen_-_SMVK_-_000238,"Kaudern, Walter. ""Gammal kvinna i basttygskläder."" June 1919. Photograph, 000238. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113397.",https://commons.wikimedia.org/wiki/File:Gammal_kvinna_i_basttygskl%C3%A4der._Hon_b%C3%A4r_p%C3%A5_ett_30-tal_smala_armringar_p%C3%A5_vardera_armen_-_SMVK_-_000238.tif
"Lindoeflicka_med_pärlor_runt_huvudet._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010772","Kaudern, Walter. [Untitled: girl, portrait]. October 1918. Photograph, 010772. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1887651.","https://commons.wikimedia.org/wiki/File:Lindoeflicka_med_p%C3%A4rlor_runt_huvudet._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010772.tif"
"Man_vid_namn_Nonto._Toleman._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010754","Kaudern, Walter. [Untitled: man, portrait]. July 1918. Photograph, 010754. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/2558805.","https://commons.wikimedia.org/wiki/File:Man_vid_namn_Nonto._Toleman._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010754.tif"
"Inföding_vid_namn_Nonto._Toleman._Sulawesi,_Kulawi._Indonesien_-_SMVK_-_000248","Kaudern, Walter. [Untitled: man, portrait]. July 1918. Photograph, 000248. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113400.","https://commons.wikimedia.org/wiki/File:Inf%C3%B6ding_vid_namn_Nonto._Toleman._Sulawesi,_Kulawi._Indonesien_-_SMVK_-_000248.tif"
Mongondouflicka_fr._Boioa_besar._Med_fjäderkrona._Modajag._Indonesien_-_SMVK_-_022197,"Kaudern, Walter. ""Mongondouflicka fr. Boioa besar. Med fjäderkrona."" November 1917. Photograph, 022197. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1319202.",https://commons.wikimedia.org/wiki/File:Mongondouflicka_fr._Boioa_besar._Med_fj%C3%A4derkrona._Modajag._Indonesien_-_SMVK_-_022197.tif
Flickor_från_Palolo_(norr_om_Lindoe-sjön)_-_SMVK_-_010921,"Strandlund, Olof. ""Flickor från Palolo (norr om Lindoe-sjön)."" 1919. Photograph, 010921. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1887671.",https://commons.wikimedia.org/wiki/File:Flickor_fr%C3%A5n_Palolo_(norr_om_Lindoe-sj%C3%B6n)_-_SMVK_-_010921.tif
"Ega_och_hennes_syster(Folá)_utanför_Loois_hus._(Plåten_full_av_hål)._Sulawesi,_Kulawi._Indonesien_-_SMVK_-_022137","Kaudern, Walter. [Untitled: group portrait]. July 1918. Photograph, 022137. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1319142.","https://commons.wikimedia.org/wiki/File:Ega_och_hennes_syster(Fol%C3%A1)_utanf%C3%B6r_Loois_hus._(Pl%C3%A5ten_full_av_h%C3%A5l)._Sulawesi,_Kulawi._Indonesien_-_SMVK_-_022137.tif"
Kvinnor_från_Gimpoe._Central-Celebes._Sulawesi._Indonesien_-_SMVK_-_000282,"Kaudern, Walter. ""Kvinnor från Gimpoe."" 1918. Photograph, 000282. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1880369.",https://commons.wikimedia.org/wiki/File:Kvinnor_fr%C3%A5n_Gimpoe._Central-Celebes._Sulawesi._Indonesien_-_SMVK_-_000282.tif
Moraego-dans_vid_pasangrahan._Sulawesi._Indonesien_-_SMVK_-_010735b,"Kaudern, Walter. ""Moraego-dans vid pasangrahan."" August 1918. Photograph, 010735b. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/2558914.",https://commons.wikimedia.org/wiki/File:Moraego-dans_vid_pasangrahan._Sulawesi._Indonesien_-_SMVK_-_010735b.tif
